Frequency (Hz)	Level (dB)
21360.937500	-72.653793
21404.003906	-74.386368
21447.070312	-74.233833
21490.136719	-72.218887
21533.203125	-70.678345
21576.269531	-61.351177
21619.335938	-70.253761
21662.402344	-73.805740
21705.468750	-74.202438
21748.535156	-73.281242
21791.601562	-73.341499
21834.667969	-73.445869
21877.734375	-70.173912
21920.800781	-61.741802
21963.867188	-70.284843
22006.933594	-73.679878
